date,total,cash,holdings,kospi,kospi_chg_pct
2025-06-05,4999256,36730,4962526,2812.050048828125,0
2025-06-09,5116340,50852,5065489,2855.77001953125,1.55
2025-06-10,5130710,844,5129866,2871.85009765625,0.56
2025-06-11,5176323,844,5175479,2907.0400390625,1.23
2025-06-12,5150874,35864,5115010,2920.030029296875,0.45
2025-06-13,5126142,35864,5090278,2894.6201171875,-0.87
2025-06-16,5188764,26679,5162085,2946.659912109375,1.8
2025-06-17,5166076,26679,5139397,2950.300048828125,0.12
2025-06-18,5243524,27923,5215600,2972.18994140625,0.74
2025-06-19,5270436,27923,5242513,2977.739990234375,0.19
2025-06-20,5412126,12261,5399865,3021.840087890625,1.48
2025-06-23,5380825,12003,5368821,3014.469970703125,-0.24
2025-06-24,5527444,16687,5510758,3103.639892578125,2.96
2025-06-25,5508987,54329,5454658,3108.25,0.15
2025-06-26,5402528,54216,5348313,3079.56005859375,-0.92
2025-06-27,5349058,54216,5294843,3055.93994140625,-0.77
2025-06-30,5368851,54216,5314636,3071.699951171875,0.52
2025-07-01,5376850,54216,5322634,3089.64990234375,0.58
2025-07-02,5378339,54093,5324245,3075.06005859375,-0.47
2025-07-03,5481643,19070,5462573,3116.27001953125,1.34
2025-07-04,5420246,11412,5408834,3054.280029296875,-1.99
2025-07-07,5431394,11412,5419982,3059.469970703125,0.17
2025-07-08,5447365,11412,5435952,3114.949951171875,1.81
2025-07-09,5424567,11412,5413154,3133.739990234375,0.6
2025-07-10,5587137,11412,5575725,3183.22998046875,1.58
2025-07-11,5557757,14196,5543561,3175.77001953125,-0.23
2025-07-14,5527339,11712,5515627,3202.030029296875,0.83
2025-07-15,5508198,11712,5496485,3215.280029296875,0.41
2025-07-16,5455530,11712,5443817,3186.3798828125,-0.9
2025-07-17,5485915,12123,5473792,3192.2900390625,0.19
2025-07-18,5452416,12123,5440293,3188.070068359375,-0.13
2025-07-21,5472637,12123,5460514,3210.81005859375,0.71
2025-07-22,5435693,12123,5423570,3169.93994140625,-1.27
2025-07-23,5503275,12123,5491153,3183.77001953125,0.44
2025-07-24,5552879,6112,5546768,3190.449951171875,0.21
2025-07-25,5528141,37657,5490485,3196.050048828125,0.18
2025-07-28,5557818,41625,5516194,3209.52001953125,0.42
2025-07-29,5606235,41625,5564611,3230.570068359375,0.66
2025-07-30,5663511,41625,5621886,3254.469970703125,0.74
2025-07-31,5605709,53716,5551994,3245.43994140625,-0.28
2025-08-01,5411256,53716,5357541,3119.409912109375,-3.88
2025-08-04,5458922,43727,5415195,3147.75,0.91
2025-08-05,5483877,43727,5440150,3198,1.6
2025-08-06,5462827,43727,5419100,3198.139892578125,0
2025-08-07,5541561,3580,5537982,3227.679931640625,0.92
2025-08-08,5509970,3580,5506390,3210.010009765625,-0.55
2025-08-11,5522935,1812,5521123,3206.77001953125,-0.1
2025-08-12,5488567,45671,5442896,3189.909912109375,-0.53
2025-08-13,5564427,16432,5547995,3224.3701171875,1.08
2025-08-14,5572507,16432,5556075,3225.659912109375,0.04
2025-08-18,5525519,16432,5509087,3177.280029296875,-1.5
2025-08-19,5497569,16432,5481137,3151.56005859375,-0.81
2025-08-20,5479410,16432,5462978,3130.090087890625,-0.68
2025-08-21,5463865,41963,5421903,3141.739990234375,0.37
2025-08-22,5499626,7692,5491933,3168.72998046875,0.86
2025-08-25,5545054,7692,5537362,3209.860107421875,1.3
2025-08-26,5483642,7692,5475949,3179.360107421875,-0.95
2025-08-27,5512326,24040,5488287,3187.159912109375,0.25
2025-08-28,5467311,24153,5443158,3196.320068359375,0.29
